LeftProximityData,RightProximityData,Direction
0.33,0.3,1
0.32,0.3,1
0.32,0.31,1
0.32,0.31,0
0.31,0.31,0
0.31,0.32,0
0.31,0.32,2
10,0.32,1
10,0.33,1
10,0.34,1
10,0.35,1
10,0.36,1
10,0.37,1
10,0.38,1
10,0.39,1
10,0.4,1
10,0.41,1
10,0.42,1
10,0.43,1
10,0.44,1
10,0.45,1
10,0.46,1
10,0.47,1
10,0.48,1
10,0.49,1
10,0.5,1
10,0.51,1
10,0.52,1
10,0.53,1
10,0.54,1
10,0.55,1
10,0.56,1
10,0.57,1
10,0.58,1
10,0.59,1
10,0.6,1
10,0.31,1
10,0.3,1
10,0.29,1
10,0.28,1
10,0.27,1
10,0.26,1
10,0.25,1
10,0.24,1
10,0.23,1
10,0.22,1
10,0.21,1
10,0.2,1
10,0.19,1
10,0.18,1
10,0.17,1
10,0.16,1
10,0.15,1
10,0.14,1
10,0.13,1
10,0.12,1
10,0.11,1
10,0.1,1
0.6,0.1,1
0.59,0.1,1
0.58,0.1,1
0.58,0.11,1
0.57,0.11,1
0.56,0.11,1
0.56,0.12,1
0.55,0.12,1
0.55,0.13,1
0.4,10,2
0.39,10,2
0.38,10,2
0.37,10,2
0.36,10,2
0.35,10,2
0.34,10,2
0.33,10,2
0.32,10,2
0.31,10,2
0.3,10,2
0.29,10,2
0.28,10,2
0.27,10,2
0.26,10,2
0.25,10,2
0.25,0.6,2
0.25,0.59,2
0.24,0.59,2
0.23,0.58,2
0.22,0.57,2
0.21,0.56,2
0.2,0.55,2
0.2,0.54,2
0.19,0.54,2
0.19,0.53,2
0.19,0.52,2
0.18,0.52,2
0.18,0.51,2
0.18,0.5,2
0.19,0.5,2
0.19,0.49,2
0.19,0.48,2
0.2,0.48,2
0.2,0.47,2
0.21,0.47,2
0.21,0.46,2
0.22,0.46,2
0.23,0.46,2
0.23,0.45,2
0.24,0.45,2
0.25,0.45,2
0.26,0.44,2
0.27,0.44,2
0.28,0.44,2
0.29,0.43,2
0.3,0.43,2
0.31,0.43,2
0.32,0.43,2
0.33,0.43,2
0.33,0.42,2
0.34,0.42,2
0.35,0.42,2
0.36,0.42,2
0.37,0.42,2
0.38,0.42,2
0.38,0.41,2
0.39,0.41,2
0.4,0.41,2
0.41,0.41,0
0.42,0.4,1
0.42,0.39,1
0.41,0.39,1
0.41,0.38,1
0.41,0.37,1
0.4,0.37,1
0.4,0.36,1
0.4,0.35,1
0.39,0.35,1
0.39,0.34,1
0.38,0.34,1
0.38,0.33,1
0.37,0.33,1
0.37,0.32,1
0.36,0.32,1
0.35,0.32,1
0.35,0.33,1
0.34,0.33,1
0.34,0.33,0
0.37,0.41,2
0.37,0.4,2
0.38,0.4,2
0.38,0.39,2
0.38,0.39,0
0.41,10,2
0.42,10,2
0.43,10,2
0.44,0.39,1
0.44,10,2
0.45,10,2
0.46,10,2
0.47,10,2
0.48,10,2
0.49,10,2
0.5,10,2
0.51,10,2
0.52,10,2
0.53,10,2
0.54,10,2
0.55,10,2
0.56,10,2
0.57,10,2
0.58,10,2
0.59,10,2
0.6,10,2
0.24,10,2
0.23,10,2
0.22,10,2
0.21,10,2
0.2,10,2
0.19,10,2
0.18,10,2
0.17,10,2
0.16,10,2
0.15,10,2
0.49,0.6,2
